Name,SMILES
133,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCN1
134,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCN1
135,ON1CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC1=O
136,ON1CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC1=O
137,ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCCNC(=O)CCC1=O
138,ON1CCCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)NCCCCCCNC(=O)CCC1=O
139,[O-]C(=O)[C@]1(C)N=C(SC1)c2[nH+]cccc2[O-]
140,c1ccc(O)c(O)c1C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C([O-])=O)[C@@H](C)OC(=O)[C@H]([C@H](O)C)NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)c2c(O)c(O)ccc2
141,c1ccc(O)c(O)c1C(=O)N[C@H](CCCC[NH3+])C(=O)N[C@H](C([O-])=O)COC(=O)[C@H](CO)NC(=O)[C@@H](CCCC[NH3+])NC(=O)c2c(O)c(O)ccc2
142,OCC\C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)/CCO
143,OCC/C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)\CCOC(=O)[C@@H]([NH+](C)C)CCCN(O)C(=O)/C=C(C)/CCO
144,O=C(C)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)\CCOC(=O)[C@@H]([NH+](C)C)CCCN(O)C(=O)/C=C(C)/CCO
145,OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@H]([NH+](C)C)CCCN(O)C(=O)C
